rank_week_filename,url_link
WR 2015-03-26 (Week 13).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/630/WR 2015-03-26 (Week 13).xlsx
WR 2015-04-02 (Week 14).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/630/WR 2015-04-02 (Week 14).xlsx
WR 2015-04-09 (Week 15).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/630/WR 2015-04-09 (Week 15).xlsx
WR 2015-04-16 (Week 16).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/630/WR 2015-04-16 (Week 16).xlsx
WR 2015-04-23 (Week 17).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/630/WR 2015-04-23 (Week 17).xlsx
WR 2015-04-30 (Week 18).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/630/WR 2015-04-30 (Week 18).xlsx
WR 2015-05-07 (Week 19).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/630/WR 2015-05-07 (Week 19).xlsx
WR 2015-05-14 (Week 20).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/630/WR 2015-05-14 (Week 20).xlsx
WR 2015-05-21 (Week 21).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/630/WR 2015-05-21 (Week 21).xlsx
WR 2015-05-28 (Week 22).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/630/WR 2015-05-28 (Week 22).xlsx
WR 2015-06-04 (Week 23).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/630/WR 2015-06-04 (Week 23).xlsx
WR 2015-06-11 (Week 24).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/630/WR 2015-06-11 (Week 24).xlsx
WR 2015-06-18 (Week 25).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/630/WR 2015-06-18 (Week 25).xlsx
WR 2015-06-25 (Week 26).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/630/WR 2015-06-25 (Week 26).xlsx
WR 2015-07-02 (Week 27).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/630/WR 2015-07-02 (Week 27).xlsx
WR 2015-07-09 (Week 28).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/630/WR 2015-07-09 (Week 28).xlsx
WR 2015-07-16 (Week 29).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/630/WR 2015-07-16 (Week 29).xlsx
WR 2015-07-23 (Week 30).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/630/WR 2015-07-23 (Week 30).xlsx
WR 2015-07-30 (Week 31).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/630/WR 2015-07-30 (Week 31).xlsx
WR 2015-08-06 (Week 32).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/630/WR 2015-08-06 (Week 32).xlsx
WR 2015-08-13 (Week 33).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/630/WR 2015-08-13 (Week 33).xlsx
WR 2015-08-20 (Week 34).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/630/WR 2015-08-20 (Week 34).xlsx
